,0,1,2,3,4,5,6,7,8,9,10
145,141,10.1,0.8,Felipe BARDI DOS SANTOS,8-Oct-98,BRA,2h1,,"Cougar Athletic Stadium, Azusa, CA (USA)",16-Apr-21,1172
146,141,10.1,0.5,Noah LYLES,18-Jul-97,USA,2,,"Boston, MA (USA)",23-May-21,1172
147,141,10.1,0.2,Kyree KING,9-Jul-94,USA,4f1,,"National Training Center, Clermont, FL (USA)",30-May-21,1172
148,141,10.1,-0.4,Isiah YOUNG,5-Jan-90,USA,1h5,,"National Training Center, Clermont, FL (USA)",30-May-21,1174
149,141,10.1,1.2,Oblique SEVILLE,16-Mar-01,JAM,1f1,,"National Stadium, Kingston (JAM)",5-Jun-21,1172
150,141,10.1,-0.1,Chijindu UJAH,5-Mar-94,GBR,2,,"Stadio Luigi Ridolfi, Firenze (ITA)",10-Jun-21,1172
151,141,10.1,1.2,Oblique SEVILLE,16-Mar-01,JAM,3sf1,,"National Stadium, Kingston (JAM)",25-Jun-21,1172
152,141,10.1,-0.8,Chijindu UJAH,5-Mar-94,GBR,3,,"Olympiastadion, Stockholm (SWE)",4-Jul-21,1176
153,152,10.11,1.2,Fred KERLEY,7-May-95,USA,2f1,,"Tropical Park Track, Miami, FL (USA)",20-Mar-21,1169
154,152,10.11,1,Mark Otieno ODHIAMBO,11-May-93,KEN,1,,"National Heroes Stadium, Lusaka (ZAM)",10-Apr-21,1169
155,152,10.11,0.3,Akani SIMBINE,21-Sep-93,RSA,1h2,,"Bestmed Tuks Stadium, Pretoria (RSA)",15-Apr-21,1169
156,152,10.11,2,Divine ODUDURU,7-Oct-96,NGR,1h4,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",30-Apr-21,1169
157,152,10.11,1.9,Chris ROYSTER,24-Jan-92,USA,6,,"Hilmer Lodge Stadium, Walnut, CA (USA)",9-May-21,1169
158,152,10.11,1,Cravon GILLESPIE,31-Jul-96,USA,1h2,,"Hilmer Lodge Stadium, Walnut, CA (USA)",9-May-21,1169
159,152,10.11,1,Michael RODGERS,24-Apr-85,USA,2h2,,"Hilmer Lodge Stadium, Walnut, CA (USA)",9-May-21,1169
160,152,10.11,1.6,Denzell FEAGIN,2001,USA,2,,"Texan Track & Field Complex, Levelland, TX (USA)",13-May-21,1169
161,152,10.11,1.6,Cole BECK,5-Mar-99,USA,1,,"Paul Derr TF Facility, Raleigh, NC (USA)",15-May-21,1169
162,152,10.11,1.9,Joseph Paul AMOAH,12-Jan-97,GHA,1q2,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",26-May-21,1169
163,152,10.11,1,Cravon GILLESPIE,31-Jul-96,USA,1h7,,"CVEATC, Chula Vista, CA (USA)",30-May-21,1169
164,152,10.11,1.3,Marvin BRACY,15-Dec-93,USA,3,,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",31-May-21,1169
