,0,1,2,3,4,5,6,7,8,9,10
140,138,9.99,+1.5,Mickey GRIMES,10 OCT 1976,USA,1f2,,Zürich (SUI),15 AUG 2003,1210
141,138,9.99,+1.6,Aziz ZAKARI,02 SEP 1976,GHA,2,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1210
142,138,9.99,+1.0,Darrel BROWN,11 OCT 1984,TTO,2,,Port-of-Spain (TTO),25 JUN 2005,1210
143,138,9.99,+1.8,Ronald POGNON,16 NOV 1982,FRA,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2005,1210
144,138,9.99,+1.0,Marcus BRUNSON,24 APR 1978,USA,4f1,,Zürich (SUI),18 AUG 2006,1210
145,138,9.99,+0.9,Samuel FRANCIS,27 MAR 1987,QAT,1,,Amman (JOR),26 JUL 2007,1210
146,138,9.99,+1.6,Mark JELKS,10 APR 1984,USA,3qf2,,"Eugene, OR (USA)",28 JUN 2008,1210
147,138,9.99,+0.4,Lerone CLARKE,07 JUL 1981,JAM,1f2,,"Letzigrund, Zürich (SUI)",28 AUG 2009,1210
148,138,9.99,+1.0,Jaysuma SAIDY NDURE,01 JAN 1984,NOR,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1210
149,138,9.99,+1.6,Bryce ROBINSON,13 NOV 1993,USA,1,,"Storrs, CT (USA)",16 MAY 2015,1210
150,138,9.99,+1.7,Beejay LEE,05 MAR 1993,USA,3h2,,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1210
151,138,9.99,+2.0,Omar MCLEOD,25 APR 1994,JAM,1f3,,"Fayetteville, AR (USA)",23 APR 2016,1210
152,138,9.99,+1.7,Rondel SORRILLO,24 JAN 1986,TTO,2f2,,Port-of-Spain (TTO),25 JUN 2016,1210
153,138,9.99,+0.6,Nethaneel MITCHELL-BLAKE,02 APR 1994,GBR,2,,"Columbia, SC (USA)",13 MAY 2017,1210
154,138,9.99,+1.1,Kendal WILLIAMS,23 SEP 1995,USA,1,,"Knoxville, TN (USA)",13 MAY 2018,1210
155,138,9.99,+0.2,Filippo TORTU,15 JUN 1998,ITA,2,,"Moratalaz, Madrid (ESP)",22 JUN 2018,1210
156,155,10.00,+2.0,Marian WORONIN,13 AUG 1956,POL,1,,Warszawa (POL),09 JUN 1984,1206
157,155,10.00,+1.0,Chidi IMOH,27 AUG 1963,NGR,1,,Berlin (GER),15 AUG 1986,1206
158,155,10.00,+1.6,Robson DA SILVA,04 SEP 1964,BRA,3h3,,Ciudad de México (MEX),22 JUL 1988,1206
159,155,10.00,+1.9,Koji ITO,29 JAN 1970,JPN,sf,,Bangkok (THA),13 DEC 1998,1206
160,155,10.00,+1.1,Eric NKANSAH,12 DEC 1974,GHA,3,,Nürnberg (GER),13 JUN 1999,1206
161,155,10.00,+0.5,Dwight THOMAS,23 SEP 1980,JAM,1,,Linz (AUT),23 AUG 2005,1206
162,155,10.00,+0.4,Chris JOHNSON,28 APR 1982,USA,1,,"Mesquite, TX (USA)",14 JUN 2008,1206
163,155,10.00,+1.6,Xavier CARTER,08 DEC 1985,USA,3qf3,,"Eugene, OR (USA)",28 JUN 2008,1206
164,155,10.00,+1.4,Trindon HOLLIDAY,27 APR 1986,USA,1h1,,"Fayetteville, AR (USA)",10 JUN 2009,1206
165,155,10.00,+1.4,Rae Monzavous EDWARDS,07 MAY 1981,USA,1f2,,"Icahn Stadium (Fordham), New York, NY (USA)",12 JUN 2010,1206
166,155,10.00,+1.3,Maurice MITCHELL,22 DEC 1989,USA,3,,"Des Moines, IA (USA)",10 JUN 2011,1206
167,155,10.00,+0.4,Peimeng ZHANG,13 MAR 1987,CHN,5sf2,,"Luzhniki, Moskva (RUS)",11 AUG 2013,1206
168,155,10.00,+1.6,Trentavis FRIDAY,05 JUN 1995,USA,1h1,,"Eugene, OR (USA)",05 JUL 2014,1206
169,155,10.00,+1.9,John TEETERS,19 MAY 1993,USA,1h5,,"Hayward Field, Eugene, OR (USA)",02 JUL 2016,1206
170,155,10.00,+2.0,Yunier PÉREZ,16 FEB 1985,CUB,1h1,,"Moratalaz, Madrid (ESP)",14 JUL 2017,1206
171,155,10.00,+0.5,Cejhae GREENE,06 OCT 1995,ANT,1sf2,,Barranquilla (COL),29 JUL 2018,1206
172,155,10.00,+0.8,Tosin OGUNODE,02 MAR 1994,QAT,2,,Jakarta (INA),26 AUG 2018,1206
173,155,10.00,+1.2,Enoch ADEGOKE,08 MAR 2000,NGR,1,,"Yabatech Sport Complex, Lagos (NGR)",17 JUN 2021,1206
174,173,10.01,+0.9,Pietro MENNEA,28 JUN 1952,ITA,1f1,,Ciudad de México (MEX),04 SEP 1979,1203
175,173,10.01,+1.9,Bode OSAGIOBARE,01 DEC 1970,NGR,2f1,,"El Paso, TX (USA)",16 APR 1994,1203
176,173,10.01,+0.6,Jeff LAYNES,03 OCT 1970,USA,1,,"Tempe, AZ (USA)",06 APR 1996,1203
177,173,10.01,0.0,Jason SMOOTS,13 JUL 1980,USA,1,,Rieti (ITA),27 AUG 2006,1203
