,0,1,2,3,4,5,6,7,8,9,10
109,90,9.85,+1.7,Yohan BLAKE,26 DEC 1989,JAM,1sf3,,"Olympic Stadium, London (GBR)",05 AUG 2012,1259
110,90,9.85,+0.2,Usain BOLT,21 AUG 1986,JAM,1f1,,"Olympic Stadium, London (GBR)",26 JUL 2013,1259
111,90,9.85,-0.3,Justin GATLIN,10 FEB 1982,USA,2,,"Luzhniki, Moskva (RUS)",11 AUG 2013,1260
112,90,9.85,+0.9,Christian COLEMAN,06 MAR 1996,USA,1,,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1259
113,90,9.85,+1.5,Marvin BRACY,15 DEC 1993,USA,2f2,,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1259
114,90,9.85,+0.8,Ronnie BAKER,15 OCT 1993,USA,2,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1259
115,114,9.86,+1.2,Carl LEWIS,01 JUL 1961,USA,1,,"Olympic Stadium, Tokyo (JPN)",25 AUG 1991,1255
116,114,9.86,-0.4,Frank FREDERICKS,02 OCT 1967,NAM,1f1,,Lausanne (SUI),03 JUL 1996,1257
117,114,9.86,+0.2,Maurice GREENE,23 JUL 1974,USA,1,,"Olympic Stadium, Athina (GRE)",03 AUG 1997,1255
118,114,9.86,+1.8,Ato BOLDON,30 DEC 1973,TTO,1,,"Walnut, CA (USA)",19 APR 1998,1255
119,114,9.86,-0.4,Ato BOLDON,30 DEC 1973,TTO,1,,Athina (GRE),17 JUN 1998,1257
120,114,9.86,+0.1,Ato BOLDON,30 DEC 1973,TTO,2f3,,Athina (GRE),16 JUN 1999,1255
121,114,9.86,+0.4,Ato BOLDON,30 DEC 1973,TTO,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1255
122,114,9.86,-0.2,Maurice GREENE,23 JUL 1974,USA,1,,"Olympiastadion, Berlin (GER)",01 SEP 2000,1256
123,114,9.86,+0.6,Francis OBIKWELU,22 NOV 1978,POR,2,,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1255
124,114,9.86,+0.2,Asafa POWELL,23 NOV 1982,JAM,1f1,,Stockholm (SWE),25 JUL 2006,1255
125,114,9.86,-0.5,Asafa POWELL,23 NOV 1982,JAM,1,,"Olympiastadion, Berlin (GER)",03 SEP 2006,1258
126,114,9.86,-0.2,Usain BOLT,21 AUG 1986,JAM,1,,Kingston (JAM),27 JUN 2009,1256
127,114,9.86,+0.1,Usain BOLT,21 AUG 1986,JAM,1,,Daegu (KOR),19 MAY 2010,1255
128,114,9.86,+1.0,Nesta CARTER,11 OCT 1985,JAM,1f2,,Luzern (SUI),08 AUG 2010,1255
